original_filename,english_title,category_or_status,new_project_path_or_duplicate_of,sha256,source_archive_path,translation_note
OpeningBombing Mission Final Fantasy VII.mp3,OpeningBombing Mission Final Fantasy VII,music,assets/audio/admin/music/openingbombing-mission-final-fantasy-vii.mp3,4b6246a51b8c6b2c64bacef5a5eb16fd899f5a41cf6c733368a3c8c48444658f,combined 5/OpeningBombing Mission Final Fantasy VII.mp3,
Psamathes-The White Lady -From -Hollow Knight.mp3,Psamathes-The White Lady -From -Hollow Knight,music,assets/audio/admin/music/psamathes-the-white-lady-from-hollow-knight.mp3,0cb5794cecb6aac2723474fa9782e6a87b55d9bb0473b3d01146d5386f827463,combined 5/Psamathes-The White Lady -From -Hollow Knight.mp3,
screamin_38dc25484811804.mp3,screamin_38dc25484811804,voice,assets/audio/admin/voice/screamin-38dc25484811804.mp3,872aadc85e4d15d0b9e2986b25ca3e2c1b8e08c733cd656c386f84c592d18846,combined 5/screamin_38dc25484811804.mp3,
Senshis Theme Delicious in Dungeon.mp3,Senshis Theme Delicious in Dungeon,music,assets/audio/admin/music/senshis-theme-delicious-in-dungeon.mp3,61a2d473091c4754b6387d28ecb6e67d8a31c123021ce7ceb6f1e153b015a24d,combined 5/Senshis Theme Delicious in Dungeon.mp3,
"Tabletop Orchestral - Arcane Archives, Wizards Shop  RPG Music  D&D Ambience.mp3","Tabletop Orchestral - Arcane Archives, Wizards Shop  RPG Music  D&D Ambience",ambience,assets/audio/admin/ambience/tabletop-orchestral-arcane-archives-wizards-shop-rpg-music-d-and-d-ambience.mp3,2cfe9cba8446b9728cad11778339dc3825146a95f858d2b691cff0e17262212f,"combined 5/Tabletop Orchestral - Arcane Archives, Wizards Shop  RPG Music  D&D Ambience.mp3",
tense-sound.mp3,tense-sound,sfx,assets/audio/admin/sfx/tense-sound.mp3,c98f8e872b36f0dd8035b9a0ae2ee091b695cce00c5db53f1e510e2f103dd880,combined 5/tense-sound.mp3,
#U041c#U0430#U043b#U0435#U043d#U044c#U043a#U0438#U0439 #U0432#U043e#U0441#U043f#U0438#U0442#U0430#U0442#U0435#U043b#U044c #U0420#U043e#U043a#U0441#U0438.mp3,Roxy's Little Caretaker,music,assets/audio/admin/music/roxys-little-caretaker.mp3,5bce1bb02c1d346dddb247c6dd4c6e1017658dfcc7f8373df83dd68b33e569bf,combined 6/#U041c#U0430#U043b#U0435#U043d#U044c#U043a#U0438#U0439 #U0432#U043e#U0441#U043f#U0438#U0442#U0430#U0442#U0435#U043b#U044c #U0420#U043e#U043a#U0441#U0438.mp3,
#U041d#U0430#U043f#U0440#U044f#U0436#U0435#U043d#U0438#U0435 #U0432 #U043b#U0438#U0441#U0442#U0432#U0435.mp3,Tension in the Foliage,music,assets/audio/admin/music/tension-in-the-foliage.mp3,7662149bb430024c813044b5b45c24a1245e211c84d434bea07e9f4381f8bb25,combined 6/#U041d#U0430#U043f#U0440#U044f#U0436#U0435#U043d#U0438#U0435 #U0432 #U043b#U0438#U0441#U0442#U0432#U0435.mp3,
#U041f#U0440#U043e#U0445#U043e#U0434 #U0441#U043a#U0432#U043e#U0437#U044c #U0434#U0436#U0443#U043d#U0433#U043b#U0438.mp3,Passage Through the Jungle,ambience,assets/audio/admin/ambience/passage-through-the-jungle.mp3,9f8d59d179a83bd40d92f097030fa63ed22345e8c858783fda995dcf8783d6e2,combined 6/#U041f#U0440#U043e#U0445#U043e#U0434 #U0441#U043a#U0432#U043e#U0437#U044c #U0434#U0436#U0443#U043d#U0433#U043b#U0438.mp3,
#U0423#U0440#U043e#U043a #U043c#U0430#U0433#U0438#U0438.mp3,Magic Lesson,music,assets/audio/admin/music/magic-lesson.mp3,cd147e3ea1262a435d88b3302456a91789fcd30d6c1e4c84c64c9d21e47d7edd,combined 6/#U0423#U0440#U043e#U043a #U043c#U0430#U0433#U0438#U0438.mp3,
#U043f#U0435#U043d#U0438#U0435.mp3,Singing,voice,assets/audio/admin/voice/singing.mp3,db6479f4f1de04df6e2e857c1041b75221e907483725ff0af69e6b4ed105e41e,combined 6/#U043f#U0435#U043d#U0438#U0435.mp3,
1-03 Beni-Kuchi-Nawa.mp3,1-03 Beni-Kuchi-Nawa,music,assets/audio/admin/music/1-03-beni-kuchi-nawa.mp3,f675731818d6431deb79a5a6e290bef4831f73b369ef04a9268381995e37bb12,combined 6/1-03 Beni-Kuchi-Nawa.mp3,
2-03 Abyss of the Sea.mp3,2-03 Abyss of the Sea,ambience,assets/audio/admin/ambience/2-03-abyss-of-the-sea.mp3,0e6fc4068ae440adb7d2eede7d5fe4614d4fa71136db24ed795d2db9e6636775,combined 6/2-03 Abyss of the Sea.mp3,
Best Tavern Music ckd2.mp3,Best Tavern Music ckd2,music,assets/audio/admin/music/best-tavern-music-ckd2.mp3,1a3d9e7f558bfa50a6cadb3a69c633a5261295518f567a67c321465113b94daa,combined 6/Best Tavern Music ckd2.mp3,
Chorus - Tiny Bunny OST.mp3,Chorus - Tiny Bunny OST,music,assets/audio/admin/music/chorus-tiny-bunny-ost.mp3,416f66583e4bf090f5663bd59cbb55278309a08b6a96afb973356f6dbb7e5144,combined 6/Chorus - Tiny Bunny OST.mp3,
flutie8211-just-look-at-that-with-laugh-451577.mp3,flutie8211-just-look-at-that-with-laugh-451577,music,assets/audio/admin/music/flutie8211-just-look-at-that-with-laugh-451577.mp3,1a62c1994d63cc55789f5c6222e5cb62bbb939ea689e60e12598ad99d94e4be9,combined 6/flutie8211-just-look-at-that-with-laugh-451577.mp3,
flutie8211-no-way-thatx27s-not-possible-438544.mp3,flutie8211-no-way-thatx27s-not-possible-438544,music,assets/audio/admin/music/flutie8211-no-way-thatx27s-not-possible-438544.mp3,7ce6819490ab499ba8e89827c57298899f42aa4a40d3070d125c23b2415a3628,combined 6/flutie8211-no-way-thatx27s-not-possible-438544.mp3,
freesound_community-stop-struggling-86476.mp3,freesound_community-stop-struggling-86476,music,assets/audio/admin/music/freesound-community-stop-struggling-86476.mp3,355a03368fafbedf61ac47fdeb13359331995a2f4a794a59956494b36e986b43,combined 6/freesound_community-stop-struggling-86476.mp3,
Fumes in the Myconid Caves  Unofficial Dragons of Stormwreck Isle  Loop  TTRPGD&D Dungeon Music.mp3,Fumes in the Myconid Caves  Unofficial Dragons of Stormwreck Isle  Loop  TTRPGD&D Dungeon Music,ambience,assets/audio/admin/ambience/fumes-in-the-myconid-caves-unofficial-dragons-of-stormwreck-isle-loop-ttrpgd-and-d-dungeon-music.mp3,cb6e4a37f89cea4e7b14875107a296001c7f3a199b9b870f608356a8af39713c,combined 6/Fumes in the Myconid Caves  Unofficial Dragons of Stormwreck Isle  Loop  TTRPGD&D Dungeon Music.mp3,
heal_default.mp3,heal_default,sfx,assets/audio/admin/sfx/heal-default.mp3,60a4d31dedece55ecef134a042607f63ea0ee8f6487e535e1e516b838ba787b6,combined 6/heal_default.mp3,
Hollow Knight-The White Lady OST Extended-kissvk.com.mp3,Hollow Knight-The White Lady OST Extended-kissvk.com,music,assets/audio/admin/music/hollow-knight-the-white-lady-ost-extended-kissvk-com.mp3,1d85968b1d315c457a879b6ca3f260755eeaf5c80629cc0815ff0425716e9d4e,combined 6/Hollow Knight-The White Lady OST Extended-kissvk.com.mp3,
